webpage_name,Signature,Die Hard,Alma mater,Instruments,Resting place,Die Hard 2,Birth name,Occupation,Known for,Citizenship,Education,Preceded by,Other names,Notable work,Died,Children,Live Free or Die Hard,Nationality,Website,Years active,Years of service,Awards,Service/branch,Genres,Succeeded by,Allegiance,Works,Born,Associated acts,Partner(s),Height,Parent(s),Relatives,Political party,bday,Die Hard with a Vengeance,Occupation(s),Rank,Labels,A Good Day to Die Hard,Spouse(s)
Bruce Willis,,1.0,Montclair State University,,,1.0,,Actorfilm producer,,,,,,,,"5, including Rumer",1.0,,,1978–present,,,,,,,Full list,"Walter Bruce Willis (1955-03-19) March 19, 1955 (age 65)Idar-Oberstein, West Germany",,,,,,,1955-03-19,1.0,,,,1.0,"Demi Moore (m. 1987; div. 2000) Emma Heming (m. 2009)"
Alan Rickman,,1.0,Chelsea College of Art and Design,,,,,"Actor, director",,,Latymer Upper School,,,,"14 January 2016(2016-01-14) (aged 69)London, England",,,,,1974–2016,,Full list,,,,,,"Alan Sidney Patrick Rickman(1946-02-21)21 February 1946Acton, London, England",,,,,,,1946-02-21,,,,,,Rima Horton (m. 2012)
Alexander Godunov,,1.0,,,,,,Ballet danceractorballet coach,,,,,,,"May 18, 1995(1995-05-18) (aged 45)West Hollywood, California, U.S.",,,Soviet (1949–1982; def.)[1]United States (1987–1995),,1958–1995,,,,,,,,"Alexander Borisovich Godunov(1949-11-28)November 28, 1949Yuzhno-Sakhalinsk, Sakhalin, Russian SFSR, USSR",,Jacqueline Bisset (1981–1988),,,,,1949-11-28,,,,,,"Lyudmila Vlasova (m. 1971; div. 1982)"
Bonnie Bedelia,,1.0,,,,1.0,,Actress,,,,,,,,2,,,,1957–present,,,,,,,,"Bonnie Bedelia Culkin (1948-03-25) March 25, 1948 (age 72)New York City, New York, U.S.",,,,,Kit Culkin (brother)Macaulay Culkin (nephew)Kieran Culkin (nephew)Rory Culkin (nephew),,1948-03-25,,,,,,"Ken Luber (m. 1969; div. 1980) Michael MacRae (m. 1995)"
Reginald VelJohnson,,1.0,,,,1.0,,Actor,Carl Winslow – Family Matters Al Powell – Die Hard,,New York University (BFA),,,,,,,,,1979–present,,,,,,,,"Reginald Vel Johnson (1952-08-16) August 16, 1952 (age 68)New York, New York, U.S.",,,,,,,1952-08-16,,,,,,
Paul Gleason,,1.0,,,,,,Actor,,,,,,,"May 27, 2006(2006-05-27) (aged 67)Burbank, California, U.S.",2,,American[1],,1965–2006,,,,,,,,"Paul Xavier Gleason(1939-05-04)May 4, 1939Jersey City, New Jersey, U.S.[1]",,,,,,,1939-05-04,,,,,,"Candy Moore (m. 1971; div. 1978) Susan Kehl (m. after 1995)"
De'voreaux White,,1.0,,,,,,Actor,,,,,,,,,,,,1977-present,,,,,,,,"Devorea W. Sefas (1965-08-06) August 6, 1965 (age 55)Los Angeles County, California",,,,,,,1965-08-06,,,,,,
William Atherton,,1.0,,,,1.0,,Actor,,,,,,,,,,,,1972–present,,,,,,,,"William Atherton Knight (1947-07-30) July 30, 1947 (age 73)Orange, Connecticut, United States",,,,,,,1947-07-30,,,,,,Bobbi Goldin (1980-present)
Clarence Gilyard,,1.0,,,,,,"College professor, actor, author",,,"California State University, Long BeachCalifornia State University, Dominguez Hills (BA)Southern Methodist University (MFA)",,Clarence A. Gilyard,,,5,,,,1981–20052012–present,,,,,,,,"Clarence Darnell Gilyard Jr. (1955-12-24) December 24, 1955 (age 64)Moses Lake, Washington, U.S.",,,,,,,1955-12-24,,,,,,Elena (second wife; 2001–present)
Hart Bochner,,1.0,,,,,,"Actor director screenwriter producer ",,,,,,,,,,Canadian,,1977–present,,,,,,,,"Hart Matthew Bochner (1956-10-03) October 3, 1956 (age 64)Toronto, Ontario, Canada",,,,Lloyd Bochner (father),,,1956-10-03,,,,,,
James Shigeta,,1.0,,"Vocals, piano",National Memorial Cemetery of the Pacific,,,Actorvocalist,,,,,,,"July 28, 2014(2014-07-28) (aged 85)Los Angeles, California",,,,,1959–2009,1951–1954,,United States Marine Corps,"Traditional pop, big band, jazz",,United States,,"James Saburo Shigeta(1929-06-17)June 17, 1929Honolulu, Oahu, Territory of Hawaii",,,,,,,1929-06-17,,,Staff sergeant,"Toho Records, Choreo Records, Decca, Ava Records",,
Franco Nero,,,,,,1.0,,Actor,,,,,,,,Carlo Gabriel Nero,,,,1962–present,,,,,,,,"Francesco Clemente Giuseppe Sparanero (1941-11-23) 23 November 1941 (age 78)San Prospero Parmense, Parma, Italy",,,,,,,1941-11-23,,,,,,Vanessa Redgrave (m. 2006)
William Sadler (actor),,,,,,1.0,,Actor,,,"State University of New York, Geneseo (BA)Cornell University (MFA)",,,,,1,,,,1977–present,,,,,,,,"William Thomas Sadler (1950-04-13) April 13, 1950 (age 70)Buffalo, New York, U.S.",,,,,,,1950-04-13,,,,,,Marni Joan Bakst (m. 1977)
John Amos,,,Colorado State University (BA),,,1.0,,Actor,James Evans Sr. – Good Times,,,,,,,2,,,,1970–present,,,,,,,,"John Allen Amos Jr. (1939-12-27) December 27, 1939 (age 80)Newark, New Jersey, U.S.",,,,,,Democratic,1939-12-27,,,,,,"Noel J. Mickelson (m. 1965; div. 1975) Lillian Lehman (m. 1978; div. 1979)"
Dennis Franz,,,Wilbur Wright CollegeSouthern Illinois University Carbondale,,,1.0,,Actor,,,,,,,,2 stepdaughters,,American,,1978–2005,,,,,,,,"Dennis Franz Schlachta (1944-10-28) October 28, 1944 (age 75)Maywood, Illinois, U.S.",,,,,,,1944-10-28,,,,,,Joanie Zeck (m. 1995)
Art Evans (actor),,,,,,1.0,,Actor,,,,,,,,,,,,1974–present,,,,,,,,"Arthur James Evans (1942-03-27) March 27, 1942 (age 78)Berkeley, California, U.S.",,,,,,,1942-03-27,,,,,,
Fred Dalton Thompson,,,,,,1.0,,,,,University of Memphis (BA)Vanderbilt University (JD),Harlan Mathews,,,"November 1, 2015(2015-11-01) (aged 73)Nashville, Tennessee, U.S.",5,,,,,,,,,Lamar Alexander,,,"Freddie Dalton Thompson(1942-08-19)August 19, 1942Sheffield, Alabama, U.S.",,,,,,Republican,1942-08-19,,,,,,"Sarah Knestrick (m. 1959; div. 1985) Jeri Kehn (m. 2002)"
Tom Bower (actor),,,,,,1.0,,"Actor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheila McCarthy,,,,,,1.0,,Actress,,,,,,,,,,,,1982–present,,,,,,,," (1956-01-01) January 1, 1956 (age 64)Toronto, Ontario, Canada",,,,,,,1956-01-01,,,,,,
Jeremy Irons,,,Bristol Old Vic Theatre School,,,,,"Actor, activist",,,,,,,,"2, including Max Irons",,British,,1969–present,,,,,,,,"Jeremy John Irons (1948-09-19) 19 September 1948 (age 72)Cowes, Isle of Wight, England",,,,,Sorcha Cusack (sister-in-law)  Niamh Cusack (sister-in-law)  Pádraig Cusack (brother-in-law)  Catherine Cusack (sister-in-law)  Cyril Cusack (father-in-law)  Maureen Cusack (mother-in-law),,1948-09-19,1.0,,,,,"Julie Hallam (m. 1969; div. 1969) Sinéad Cusack (m. 1978)"
Samuel L. Jackson,,,,,,,,Actorproducer,,United StatesGabon,,,,,,1,,,,1972–present,,,,,,,,"Samuel Leroy Jackson (1948-12-21) December 21, 1948 (age 71)Washington, D.C., U.S.",,,,,,,1948-12-21,1.0,,,,,LaTanya Richardson (m. 1980)
Graham Greene (actor),,,,,,,,Actor,,,,,,,,,,,,1979–present,,,,,,,," (1952-06-22) June 22, 1952 (age 68)Six Nations Reserve, Ohsweken, Ontario, Canada",,,,,,,1952-06-22,1.0,,,,,Hilary Blackmore (m. 1994)
Colleen Camp,,,,,,,,"Actress, film producer",,,,,,,,1,,,,1973–present,,,,,,,,"Colleen Celeste Camp (1953-06-07) June 7, 1953 (age 67)San Francisco, California, U.S.",,,,,,,1953-06-07,1.0,,,,,"John Goldwyn (m. 1986; div. 2001)"
